2026-07-02 14:53:25 [INFO] 시작 — 입력: input.csv / DB: raw.sqlite / 청크: 10,000행
2026-07-02 14:53:33 [INFO] 청크   50 완료 | 이번 청크:  10,000행 | 누적:    500,000행 | 경과:     7.97초
2026-07-02 14:53:33 [INFO] 청크   51 완료 | 이번 청크:  10,000행 | 누적:    510,000행 | 경과:     8.21초
2026-07-02 14:53:33 [INFO] 청크   52 완료 | 이번 청크:  10,000행 | 누적:    520,000행 | 경과:     8.46초
2026-07-02 14:53:34 [INFO] 청크   53 완료 | 이번 청크:  10,000행 | 누적:    530,000행 | 경과:     8.71초
2026-07-02 14:53:34 [INFO] 청크   54 완료 | 이번 청크:  10,000행 | 누적:    540,000행 | 경과:     8.97초
2026-07-02 14:53:34 [INFO] 청크   55 완료 | 이번 청크:  10,000행 | 누적:    550,000행 | 경과:     9.22초
2026-07-02 14:53:34 [INFO] 청크   56 완료 | 이번 청크:  10,000행 | 누적:    560,000행 | 경과:     9.48초
2026-07-02 14:53:35 [INFO] 청크   57 완료 | 이번 청크:  10,000행 | 누적:    570,000행 | 경과:     9.74초
2026-07-02 14:53:35 [INFO] 청크   58 완료 | 이번 청크:  10,000행 | 누적:    580,000행 | 경과:    10.01초
2026-07-02 14:53:35 [INFO] 청크   59 완료 | 이번 청크:  10,000행 | 누적:    590,000행 | 경과:    10.28초
2026-07-02 14:53:35 [INFO] 청크   60 완료 | 이번 청크:  10,000행 | 누적:    600,000행 | 경과:    10.55초
2026-07-02 14:53:36 [INFO] 청크   61 완료 | 이번 청크:  10,000행 | 누적:    610,000행 | 경과:    10.82초
2026-07-02 14:53:36 [INFO] 청크   62 완료 | 이번 청크:  10,000행 | 누적:    620,000행 | 경과:    11.09초
2026-07-02 14:53:36 [INFO] 청크   63 완료 | 이번 청크:  10,000행 | 누적:    630,000행 | 경과:    11.38초
2026-07-02 14:53:37 [INFO] 청크   64 완료 | 이번 청크:  10,000행 | 누적:    640,000행 | 경과:    11.66초
2026-07-02 14:53:37 [INFO] 청크   65 완료 | 이번 청크:  10,000행 | 누적:    650,000행 | 경과:    11.93초
2026-07-02 14:53:37 [INFO] 청크   66 완료 | 이번 청크:  10,000행 | 누적:    660,000행 | 경과:    12.25초
2026-07-02 14:53:37 [INFO] 청크   67 완료 | 이번 청크:  10,000행 | 누적:    670,000행 | 경과:    12.54초
2026-07-02 14:53:38 [INFO] 청크   68 완료 | 이번 청크:  10,000행 | 누적:    680,000행 | 경과:    12.85초
2026-07-02 14:53:38 [INFO] 청크   69 완료 | 이번 청크:  10,000행 | 누적:    690,000행 | 경과:    13.15초
2026-07-02 14:53:38 [INFO] 청크   70 완료 | 이번 청크:  10,000행 | 누적:    700,000행 | 경과:    13.45초
2026-07-02 14:53:39 [INFO] 청크   71 완료 | 이번 청크:  10,000행 | 누적:    710,000행 | 경과:    13.78초
2026-07-02 14:53:39 [INFO] 청크   72 완료 | 이번 청크:  10,000행 | 누적:    720,000행 | 경과:    14.09초
2026-07-02 14:53:39 [INFO] 청크   73 완료 | 이번 청크:  10,000행 | 누적:    730,000행 | 경과:    14.40초
2026-07-02 14:53:40 [INFO] 청크   74 완료 | 이번 청크:  10,000행 | 누적:    740,000행 | 경과:    14.73초
2026-07-02 14:53:40 [INFO] 청크   75 완료 | 이번 청크:  10,000행 | 누적:    750,000행 | 경과:    15.04초
2026-07-02 14:53:40 [INFO] 청크   76 완료 | 이번 청크:  10,000행 | 누적:    760,000행 | 경과:    15.36초
2026-07-02 14:53:41 [INFO] 청크   77 완료 | 이번 청크:  10,000행 | 누적:    770,000행 | 경과:    15.68초
2026-07-02 14:53:41 [INFO] 청크   78 완료 | 이번 청크:  10,000행 | 누적:    780,000행 | 경과:    16.01초
2026-07-02 14:53:41 [INFO] 청크   79 완료 | 이번 청크:  10,000행 | 누적:    790,000행 | 경과:    16.33초
2026-07-02 14:53:42 [INFO] 청크   80 완료 | 이번 청크:  10,000행 | 누적:    800,000행 | 경과:    16.65초
2026-07-02 14:53:42 [INFO] 청크   81 완료 | 이번 청크:   6,856행 | 누적:    806,856행 | 경과:    16.91초
2026-07-02 14:53:42 [INFO] 완료 — 총 806,856행 삽입 | 총 소요 시간: 16.91초
